Vmag,Plx,B-V,MagA,Clase
8.55,8.09,0.536,18.089743,0.0
8.98,3.45,1.032,16.669094,0.0
5.21,12.4,1.019,15.677109,1.0
9.45,9.41,0.546,19.317947,0.0
7.71,5.05,1.093,16.226456,1.0
7.08,2.87,1.553,14.36941,1.0
7.4,3.84,1.57,15.321657,1.0
9.64,7.26,0.591,18.944683,0.0
8.49,11.7,0.556,18.830929,0.0
6.09,7.47,1.347,15.456603,1.0
6.72,5.49,0.063,15.417862,0.0
7.95,3.92,1.059,15.9164295,1.0
5.81,44.8,0.53,19.06639,0.0
5.52,1.5,0.277,11.400455,1.0
8.11,1.29,-0.04,13.662949,0.0
8.47,2.37,2.155,15.343742,1.0
8.36,2.99,1.008,15.738356,1.0
7.54,1.57,0.889,13.519499,1.0
8.63,10.5,0.597,18.735947,0.0
8.23,6.18,0.515,17.184942,0.0
7.92,11.7,0.604,18.26093,0.0
8.95,6.63,0.373,18.057568,0.0
9.52,7.17,0.487,18.797596,0.0
9.2,1.86,1.149,15.5475645,1.0
8.89,3.44,1.005,16.572792,1.0
7.13,5.29,1.109,15.747278,1.0
5.73,26.13,0.683,17.815697,1.0
9.1,0.5,0.062,12.594851,0.0
6.14,4.24,-0.183,14.276829,1.0
6.85,7.41,1.062,16.199091,1.0
7.92,3.89,1.348,15.869748,1.0
7.66,12.41,0.43,18.12886,0.0
9.06,2.05,1.167,15.61877,1.0
6.99,10.01,0.372,16.992168,0.0
8.3,2.28,0.665,15.089674,1.0
6.95,1.59,-0.148,12.956985,0.0
9.84,6.26,0.597,18.822872,0.0
9.5,3.78,0.552,17.387459,0.0
8.84,8.0,0.473,18.35545,0.0
5.69,4.03,-0.208,13.716526,0.0
8.67,10.53,0.497,18.782143,0.0
5.86,5.0,1.242,14.354851,1.0
7.99,7.41,0.54,17.33909,0.0
7.73,29.86,0.824,20.10545,1.0
7.47,6.38,0.213,16.494102,0.0
4.3,8.75,-0.11,14.01004,0.0
7.28,2.29,-0.097,14.079178,1.0
7.97,2.79,1.372,15.198021,1.0
7.8,3.48,1.274,15.507896,1.0
9.46,5.86,0.823,18.299488,0.0
8.05,1.92,-0.125,14.466507,1.0
6.51,1.6,-0.147,12.530601,0.0
7.82,4.55,0.239,16.110058,0.0
6.06,12.0,0.074,16.455906,0.0
8.69,2.75,-0.001,15.886663,0.0
8.31,6.28,1.053,17.299799,1.0
6.89,1.22,1.653,12.321799,1.0
8.73,3.36,1.075,16.361696,1.0
8.31,0.98,0.093,13.26613,0.0
6.72,3.71,-0.078,14.56687,0.0
9.08,2.43,1.075,16.008032,1.0
7.07,3.45,0.944,14.759096,1.0
8.44,3.21,1.26,15.972525,1.0
8.02,1.28,0.249,13.55605,1.0
6.29,10.27,0.259,16.34785,0.0
7.72,1.01,1.482,12.741606,1.0
9.6,0.73,1.206,13.916615,0.0
8.15,0.47,1.376,11.5104885,1.0
4.72,18.53,1.154,16.059378,1.0
6.11,1.75,1.674,12.325191,1.0
6.16,2.55,0.565,13.1927,1.0
5.56,6.38,0.007,14.584103,0.0
6.27,15.22,1.051,17.182074,1.0
6.61,7.09,1.071,15.863232,1.0
7.0,1.2,-0.018,12.395906,1.0
7.69,1.77,1.094,13.929867,1.0
9.03,3.53,0.042,16.768873,0.0
8.68,0.44,1.016,11.897264,1.0
6.81,9.77,0.425,16.759474,0.0
9.79,2.74,1.42,16.978752,1.0
6.05,15.8,1.129,17.043285,1.0
7.05,0.2,0.228,8.55515,1.0
7.64,4.32,0.007,15.817419,0.0
7.13,24.47,0.518,19.07317,0.0
7.93,3.97,1.03,15.923952,1.0
8.07,5.78,0.328,16.879639,1.0
9.11,4.04,0.437,17.141907,0.0
9.89,6.57,0.732,18.977829,0.0
4.84,9.05,1.372,14.623243,1.0
7.62,2.99,0.127,14.998356,0.0
7.78,6.49,0.417,16.841223,0.0
8.76,3.83,0.594,16.675995,0.0
8.23,3.3,1.331,15.822569,1.0
7.47,6.31,1.084,16.470146,1.0
9.55,3.31,0.756,17.14914,0.0
6.78,3.17,1.268,14.285297,1.0
8.77,1.39,1.534,14.485075,1.0
